epoch,val_loss,val_acc,step,test_acc,test_loss
0,0.4332164525985718,0.8808000087738037,214,,
1,0.3172321021556854,0.9034000039100647,429,,
2,0.2683469355106354,0.9164000153541565,644,,
3,,,645,0.9269999861717224,0.2509479820728302
